,year,group,text
23,1872,24,"['gesundes', 'hineinblicken', 'in', 'sich', 'selbst', 'ohne', 'sich', 'zu', 'untergraben;', 'nicht', 'mit', 'wahn', 'und', 'fabelei', 'sondern', 'mit', 'reinem', 'schauen', 'in', 'die', 'unerforschte', 'tiefe', 'sich', 'wagen', 'ist', 'eine', 'seltne', 'gabe', 'goethe']"
24,1872,25,"['ich', 'will', 'mit', 'dem', 'bekenntniß', 'anheben', 'daß', 'es', 'mir', 'sehr', 'schwer', 'geworden', 'ist', 'in', 'betreff', 'der', 'griechischen', 'tragödie', 'zu', 'einer', 'reinen', 'und', 'ursprünglichen', 'empfindung', 'zu', 'gelangen', 'die', 'wirklich', 'die', 'tragödie', 'als', 'kunstwerk', 'berührt', 'zu', 'einer', 'empfindung', 'die', 'ich', 'vor', 'allem', 'ehrlich', 'nennen', 'möchte', 'von', 'vorn', 'herein', 'ist', 'nämlich', 'jetzt', 'alles', 'dazu', 'angethan', 'daß', 'der', 'junge', 'mensch', 'begierig', 'nun', 'endlich', 'in', 'eine', 'so', 'grenzenlos', 'berühmte', 'wunderwelt', 'hineinzublicken', 'in', 'das', 'netz', 'einer', 'als', 'unehrlich', 'zu', 'bezeichnenden', 'bewunderung', 'verfalle', 'er', 'verbirgt', 'sich', 'ängstlich', 'den', 'kühlen', 'befremdlichen', 'und', 'fast', 'peinlichen', 'ersten', 'eindruck:', 'denn', 'er', 'möchte', 'um', 'jeden', 'preis', 'das', 'lieben', 'dessen', 'triumphgesang', 'aus', 'dem', 'alterthum', 'her', 'bis', 'zu', 'diesem', 'moment', 'um', 'ihn', 'her', 'erschallt', 'in', 'diesem', 'bedürfniß', 'zur', 'liebe', 'verwandelt', 'er', 'sich', 'unbewußt', 'das', 'so', 'befremdlich', 'auf', 'ihn', 'einwirkende', 'objekt', 'mit', 'der', 'kraft', 'einer', 'zarten', 'illusion;', 'vielleicht', 'hält', 'er', 'sein', 'auge', 'starr', 'auf', 'die', 'scenen', 'gebannt', 'in', 'denen', 'er', 'eine', 'verwandtschaft', 'mit', 'shakespeare', 'empfindet', 'und', 'mißt', 'etwa', 'nach', 'dem', 'eindruck', 'der', 'äschyleischen', 'kassandrascene', 'die', 'ganze', 'alte', 'tragödie;', 'oder', 'er', 'verweilt', 'bei', 'dem', 'aufbau', 'des', 'sophokleischen', 'drama’s', 'erfreut', 'darin', 'gesetze', 'wiederzuerkennen', 'nach', 'denen', 'auch', 'jetzt', 'noch', 'der', 'dramatiker', 'baut', 'und', 'gestaltet', 'ein', 'andrer', 'wiederum', 'mag', 'sogar', 'den', 'gegensatz', 'jener', 'kühleren', 'und', 'herberen', 'mythischen', 'welt', 'mit', 'einem', 'sentimentalischen', 'reize', 'empfinden:', 'während', 'die', 'geringeren', 'naturen', 'sich', 'hier', 'wie', 'überall', 'mit', 'dem', 'stofflichen', 'zufriedengeben', 'also', 'theils', 'an', 'der', 'dargestellten', 'geschichte', 'sich', 'ergetzen', 'oder', 'an', 'einzelnen', 'worten', 'und', 'gedanken', 'oder', 'an', 'metren', 'oder', 'gar', 'an', 'verderbten', 'stellen', 'hängen', 'bleiben', 'dagegen', 'beginnt', 'jene', 'ehrliche', 'empfindung', 'mit', 'dem', 'eingeständnisse', 'eines', 'ungeheuren', 'defektes', 'und', 'einer', 'deshalb', 'nur', 'bedingten', 'bewunderung', 'der', 'defekt', 'ist', 'selbst', 'größer', 'als', 'wenn', 'wir', 'uns', 'etwa', 'vor', 'einem', 'trümmerhaufen', 'eines', 'tempels', 'finden', 'und', 'aus', 'wenigen', 'säulenresten', 'den', 'eindruck', 'ganzer', 'colonnaden', 'zu', 'errathen', 'suchen', 'denn', 'wir', 'haben', 'zuletzt', 'gedrucktes', 'papier', 'vor', 'augen', 'an', 'stelle', 'der', 'wirklichkeit', 'jener', 'tragödie', 'wir', 'müssen', 'uns', 'den', 'griechen', 'dazu', 'suppliren', 'den', 'griechen', 'in', 'der', 'vollendeten', 'äußerung', 'seines', 'lebens', 'als', 'tragischen', 'schauspieler', 'sänger', 'tänzer', 'den', 'griechen', 'als', 'einzig', 'anspruchsvollen', 'künstlerischen', 'zuschauer', 'wenn', 'wir', 'aber', 'das', 'vermögen', 'den', 'griechen', 'selbst', 'hinzuzudenken', 'so', 'haben', 'wir', 'aber', 'auch', 'beinahe', 'die', 'antike', 'tragödie', 'aus', 'uns', 'neu', 'erzeugt', 'das', 'aber', 'ist', 'die', 'grenzenlose', 'schwierigkeit:', 'wo', 'soll', 'der', 'moderne', 'mensch', 'anfangen', 'griechisch', 'zu', 'denken', 'wann', 'soll', 'er', 'enden?', 'in', 'wahrheit', 'ist', 'der', 'weg', 'nachdem', 'man', 'sich', 'jenen', 'defekt', 'deutlich', 'gemacht', 'hat', 'sehr', 'schwer', 'zu', 'finden', 'nur', 'analoge', 'fast', 'griechisch', 'zu', 'nennende', 'erscheinungen', 'unserer', 'welt', 'können', 'uns', 'jetzt', 'weiter', 'helfen:', 'wie', 'das', 'gleiche', 'immer', 'nur', 'vom', 'gleichen', 'und', 'am', 'gleichen', 'erkannt', 'wird', 'so', 'pflegt', 'der', 'bessere', 'theil', 'unserer', 'gegenwärtigen', 'gelehrten', 'goethe', 'zu', 'benutzen', 'um', 'von', 'ihm', 'sich', 'zu', 'den', 'griechen', 'geleiten', 'zu', 'lassen:', 'andre', 'nehmen', 'rafael', 'zu', 'hülfe', 'ich', 'halte', 'mich', 'an', 'die', 'erfahrungen', 'welche', 'ich', 'richard', 'wagner', 'verdanke', 'die', 'sogenannte', 'historisch-kritische', 'wissenschaft', 'hat', 'gar', 'kein', 'mittel', 'so', 'fremden', 'dingen', 'näher', 'zu', 'kommen:', 'wir', 'brauchen', 'brücken', 'erfahrungen', 'erlebnisse:', 'dann', 'wiederum', 'brauchen', 'wir', 'menschen', 'die', 'sie', 'uns', 'deuten', 'die', 'sie', 'aussprechen', 'so', 'glaube', 'ich', 'im', 'recht', 'zu', 'sein', 'von', 'dem', 'eindrucke', 'auszugehen', 'den', 'eine', 'tristanaufführung', 'im', 'sommer', '1872', 'auf', 'mich', 'hervorbrachte']"
25,1873,26,['thales']
26,1873,27,"['der', 'stil', 'des', 'strauß', 'beweist', 'daß', 'er', 'während', 'eines', 'langen', 'lebens', 'viel', 'schlechte', 'bücher', 'gelesen', '—', 'ich', 'meine', 'vor', 'allem', 'die', 'schriften', 'seiner', 'gegner']"
27,1873,28,"['der', 'wissenschaftliche', 'mensch', 'ist', 'ein', 'rechtes', 'paradoxum:', 'rings', 'umstarren', 'ihn', 'die', 'schrecklichsten', 'probleme', 'an', 'abgründen', 'wandelt', 'er', 'und', 'er', 'pflückt', 'eine', 'blume', 'um', 'ihre', 'staubfäden', 'zu', 'zählen', 'oder', 'er', 'zerklopft', 'das', 'gestein', 'an', 'dem', 'er', 'hängt', 'es', 'ist', 'nicht', 'stumpfheit', 'des', 'erkennens:', 'denn', 'er', 'glüht', 'in', 'seinem', 'triebe', 'zum', 'erkennen', 'und', 'entdecken', 'und', 'kennt', 'keine', 'größere', 'lust', 'als', 'den', 'schatz', 'des', 'wissens', 'zu', 'mehren', 'aber', 'er', 'benimmt', 'sich', 'wie', 'der', 'stolzeste', 'müssiggänger', 'des', 'glücks:', 'als', 'ob', 'das', 'dasein', 'nicht', 'eine', 'heillose', 'und', 'bedenkliche', 'sache', 'sei', 'sondern', 'ein', 'fester', 'für', 'ewige', 'dauer', 'garantirter', 'besitz']"
28,1873,29,"['die', 'wahrheit', 'zu', 'sagen', 'ohne', 'eudämonologischen', 'zweck;', 'rein', 'aus', 'pflicht', 'dabei', 'wird', 'häufig', 'die', 'eigenthümliche', 'lust', 'vergessen', 'die', 'das', 'aussprechen', 'der', 'w<ahrheit>', 'mit', 'sich', 'bringt', 'der', 'reinste', 'fall', 'der', 'in', 'dem', 'die', 'wahrheit', 'eine', 'viel', 'größere', 'unlust', 'mit', 'sich', 'führt', 'selbst', 'den', 'untergang', '—', 'und', 'trotzdem', 'wird', 'die', 'wahrheit', 'gesagt', 'ein', 'staatsmann', 'hat', 'die', 'existenz', 'eines', 'staates', 'durch', 'ein', 'wort', 'in', 'der', 'hand:', 'er', 'sagt', 'die', 'wahrheit', 'und', 'zerstört', 'den', 'staat', 'rede', 'kant’s', 'an', 'die', 'pflicht', 'ein', 'großer', 'mensch', 'ist', 'mehr', 'werth', 'als', 'ein', 'reich', 'weil', 'er', 'heilsamer', 'für', 'alle', 'nachwelt', 'ist', 'sinn', 'der', 'großen', 'that', '—', 'große', 'thaten', 'zu', 'erzeugen']"
29,1873,30,"['vom', 'nutzen', 'und', 'nachtheil', 'der', 'historie']"
30,1873,31,"['pericles', 'spricht', 'von', 'den', 'festen', 'athens', 'den', 'schönen', 'und', 'kostbaren', 'einrichtungen', 'des', 'hauses', 'deren', 'täglicher', 'anblick', 'das', 'düstere', 'wesen', 'verscheucht', 'wir', 'deutsche', 'leiden', 'sehr', 'an', 'diesem', 'düstern', 'wesen;', 'schiller', 'hoffte', 'durch', 'das', 'einströmen', 'von', 'schönheit', 'und', 'grösse', 'durch', 'die', 'aesthetische', 'erhebung', 'eine', 'nachwirkung', 'in', 'betreff', 'der', 'moralischen', 'erhebung', 'wagner', 'hofft', 'umgekehrt', 'dass', 'die', 'moralischen', 'kräfte', 'der', 'deutschen', 'sich', 'endlich', 'auch', 'einmal', 'dem', 'bereiche', 'der', 'kunst', 'zuwenden', 'um', 'hier', 'ernst', 'und', 'würde', 'zu', 'verlangen', 'er', 'nimmt', 'die', 'kunst', 'so', 'streng', 'und', 'ernst', 'wie', 'möglich:', 'so', 'hofft', 'er', 'erst', 'ihre', 'erheiternde', 'wirkung', 'zu', 'erleben', 'bei', 'uns', 'steht', 'es', 'recht', 'verkehrt', 'und', 'unnatürlich;', 'wir', 'machen', 'den', 'menschen', 'die', 'uns', 'durch', 'kunst', 'erheitern', 'wollen', 'die', 'grössten', 'schwierigkeiten', 'so', 'dass', 'wir', 'von', 'ihnen', 'moralische', 'genialität', 'und', 'charactergrösse', 'fordern', 'weil', 'den', 'begabtesten', 'künstlern', 'ihre', 'bildung', 'so', 'schwer', 'gemacht', 'wird', 'und', 'sie', 'alle', 'kraft', 'auf', 'den', 'kampf', 'verschwenden', 'müssen', 'sind', 'wir', 'nichtkünstler', 'umgekehrt', 'wieder', 'sehr', 'lax', 'in', 'den', 'moralischen', 'ansprüchen', 'an', 'uns', 'geworden:', 'die', 'bequemlichkeit', 'herrscht', 'in', 'den', 'grundsätzen', 'und', 'anschauungen', 'des', 'lebens', 'so', 'das', 'leben', 'lässig', 'nehmend', 'verlieren', 'wir', 'das', 'rechte', 'bedürfniss', 'der', 'kunst', 'wenn', 'das', 'leben', 'wie', 'das', 'athenische', 'pflicht', 'aufforderung', 'unternehmung', 'mühsal', 'fortwährend', 'im', 'schoosse', 'trägt', 'so', 'weiss', 'man', 'auch', 'die', 'kunst', 'das', 'fest', 'und', 'überhaupt', 'die', 'bildung', 'zu', 'ehren', 'und', 'zu', 'begehren:', 'damit', 'sie', 'erheitert', 'und', 'deshalb', 'ist', 'die', 'moralische', 'schwäche', 'der', 'deutschen', 'vornehmlich', 'die', 'ursache', 'davon', 'dass', 'sie', 'keine', 'cultur', 'haben', 'zwar:', 'sie', 'arbeiten', 'ausserordentlich', 'alles', 'ist', 'in', 'hast', 'der', 'vererbte', 'fleiss', 'zeigt', 'sich', 'fast', 'als', 'naturkraft', 'worin', 'offenbart', 'sich', 'ihre', 'moralische', 'schwäche!']"
31,1874,32,"['ist', 'noch', 'alles', 'christlich', 'was', 'sich', 'so', 'nennt?', 'oder', 'ausführlicher', 'und', 'zugleich', 'bedenklicher', 'gefragt', 'was', 'ist', 'überhaupt', 'in', 'unserem', 'jetzigen', 'leben', 'noch', 'wirklich', 'christlich', 'was', 'dagegen', 'nennt', 'sich', 'nur', 'so', 'aus', 'angewöhnung', 'oder', 'furchtsamkeit?', 'und', 'giebt', 'es', 'etwas', 'was', 'sich', 'nicht', 'einmal', 'mehr', 'so', 'nennt', '<und>', 'vielmehr', 'eingestandenermaassen', 'unchristlich', 'ist?', 'um', 'die', 'letzte', 'frage', 'zuerst', 'zu', 'beantworten', 'nenne', 'ich', 'des', 'beispiels', 'halber', 'die', 'gesammte', 'wissenschaft:', 'sie', 'ist', 'jetzt', 'unchristlich', 'und', 'will', 'so', 'heissen']"
32,1874,33,"['wenn', 'für', 'goethe', 'das', 'dichten', 'eine', 'art', 'auskunftsmittel', 'für', 'einen', 'verfehlten', 'malerberuf', 'war', 'wenn', 'man', 'von', 'schillers', 'dramen', 'als', 'von', 'einer', 'versetzten', 'volksberedtsamkeit', 'reden', 'kann', 'so', 'mag', 'es', 'auch', 'recht', 'sein', 'in', 'wagner', 'als', 'urbegabung', 'die', 'schauspielerische', 'anzunehmen', 'der', 'es', 'versagt', 'war', 'sich', 'auf', 'dem', 'nächsten', 'wege', 'zu', 'befriedigen', 'und', 'die', 'in', 'der', 'heranziehung', 'aller', 'andern', 'künste', 'zu', 'einem', 'großen', 'schauspielerischen', 'ideale', 'ihre', 'auskunft', 'und', 'ihre', 'rettung', 'findet']"
