,year,group,text
135,1884,30,"['möge', 'europa', 'bald', 'einen', 'großen', 'staatsmann', 'hervorbringen', 'und', 'der', 'welcher', 'jetzt', 'in', 'dem', 'kleinlichen', 'zeitalter', 'plebejischer', 'kurzsichtigkeit', 'als', 'der', 'große', 'realist', 'gefeiert', 'wird', 'klein', 'dastehen']"
136,1884,31,"['die', 'practische', 'überwindung', 'der', 'moral']"
137,1884,32,"['zurückführung', 'der', 'moralischen', 'werthschätzungen', 'auf', 'ihre', 'wurzeln']"
138,1884,33,"['die', 'gute', 'mahlzeit']"
139,1885,34,"['gai', 'saber', 'selbst-bekenntnisse', 'von', 'friedrich', 'nietzsche']"
140,1885,35,"['ein', 'moralist', 'ist', 'das', 'gegenstück', 'eines', 'moral-predigers:', 'nämlich', 'ein', 'denker', 'welcher', 'die', 'moral', 'als', 'fragwürdig', 'fragezeichenwürdig', 'kurz', 'als', 'problem', 'nimmt', 'ich', 'bedaure', 'hinzufügen', 'zu', 'müssen', 'daß', 'der', 'moralist', 'eben', 'deshalb', 'selber', 'zu', 'den', 'fragwürdigen', 'wesen', 'gehört']"
141,1885,36,"['gai', 'saber', 'vorspiel', 'zu', 'einer', 'philosophie', 'der', 'zukunft', 'von', 'friedrich', 'nietzsche']"
142,1885,37,"['gegen', 'das', 'was', 'ich', 'in', 'diesem', 'buche', 'vorzutragen', 'wage', 'läßt', 'sich', 'gewiß', 'aus', 'der', 'nähe', 'und', 'noch', 'mehr', 'von', 'der', 'ferne', 'her', 'mancher', 'herzhafte', 'einwand', 'machen', 'einen', 'teil', 'dieser', 'einwände', 'habe', 'ich', 'selbst', 'dank', 'mannichfacher', 'übung', 'im', 'verhören', 'und', 'zweikampf', 'zu', 'einem', 'vorweggenommen', 'leider', 'aber', 'immer', 'auch', 'vorweg', 'beantwortet:', 'so', 'daß', 'bisher', 'die', 'ganze', 'last', 'meiner', 'wahrheiten', 'auf', 'mir', 'liegen', 'geblieben', 'ist', 'man', 'wird', 'verstehen', 'daß', 'es', 'sich', 'hier', 'um', 'lästige', 'wahrheiten', 'handelt;', 'und', 'wenn', 'es', 'einen', 'glauben', 'giebt', 'der', 'selig', 'macht', 'nun', 'wohlan', 'hier', 'ist', 'ein', 'glaube', 'der', 'das', 'nicht', 'thut!', 'aber', 'weshalb', 'sollten', 'die', 'dinge', 'darauf', 'eingerichtet', 'sein', 'u<m>', 'uns', 'vergnügen', 'zu', 'machen?', '—', 'obschon', 'ich', 'gerade', 'dies', 'mal', 'aufrichtig', 'gesagt', 'gerne', 'das', 'vergnügen', 'genösse', 'widerlegt', 'zu', 'werden', '—', 'und', 'wenn', 'uns', 'andererseits', 'die', 'erkenntniß', '———', 'wozu', 'dann', 'erkenntniß?', '—']"
143,1885,38,"['der', 'gedanke', 'ist', 'in', 'der', 'gestalt', 'in', 'welcher', 'er', 'kommt', 'ein', 'vieldeutiges', 'zeichen', 'welches', 'der', 'auslegung', 'genauer', 'einer', 'willkürlichen', 'einengung', 'und', 'begränzung', 'bedarf', 'bis', 'er', 'endlich', 'eindeutig', 'wird', 'er', 'taucht', 'in', 'mir', 'auf', '—', 'woher?', 'wodurch?', 'das', 'weiß', 'ich', 'nicht', 'er', 'kommt', 'unabhängig', 'von', 'meinem', 'willen', 'gewöhnlich', 'umringt', 'und', 'verdunkelt', 'durch', 'ein', 'gedräng', 'von', 'gefühlen', 'begehrungen', 'abneigungen', 'auch', 'von', 'andern', 'gedanken', 'oft', 'genug', 'von', 'einem', 'wollen', 'oder', 'fühlen', 'kaum', 'zu', 'unterscheiden', 'man', 'zieht', 'ihn', 'aus', 'diesem', 'gedränge', 'reinigt', 'ihn', 'stellt', 'ihn', 'auf', 'seine', 'füße', 'man', 'sieht', 'wie', 'er', 'dasteht', 'wie', 'er', 'geht', 'alles', 'in', 'einem', 'erstaunlichen', 'presto', 'und', 'doch', 'ganz', 'ohne', 'das', 'gefühl', 'der', 'eile:', 'wer', 'das', 'alles', 'thut', '—', 'ich', 'weiß', 'es', 'nicht', 'und', 'bin', 'sicherlich', 'mehr', 'zuschauer', 'dabei', 'als', 'urheber', 'dieses', 'vorgangs', 'man', 'sitzt', 'dann', 'über', 'ihn', 'zu', 'gericht', 'man', 'fragt:', 'was', 'bedeutet', 'er?', 'was', 'darf', 'er', 'bedeuten?', 'hat', 'er', 'recht', 'oder', 'unrecht?', '—', 'man', 'ruft', 'andere', 'gedanken', 'zu', 'hülfe', 'man', 'vergleicht', 'ihn', 'denken', 'erweist', 'sieh', 'dergestalt', 'beinahe', 'als', 'eine', 'art', 'übung', 'und', 'akt', 'der', 'gerechtigkeit', 'bei', 'dem', 'es', 'einen', 'richter', 'eine', 'gegen-partei', 'auch', 'sogar', 'ein', 'zeugenverhör', 'giebt', 'dem', 'ich', 'ein', 'wenig', 'zuhören', 'darf', '—', 'freilich', 'nur', 'ein', 'wenig:', 'das', 'meiste', 'so', 'scheint', 'es', 'entgeht', 'mir', '—', 'daß', 'jeder', 'gedanke', 'zuerst', 'vieldeutig', 'und', 'schwimmend', 'kommt', 'und', 'an', 'sich', 'nur', 'als', 'anlaß', 'zum', 'versuch', 'der', 'interpretation', 'oder', 'zur', 'willkürlichen', 'festsetzung', 'daß', 'bei', 'allem', 'denken', 'eine', 'vielheit', 'von', 'personen', 'betheiligt', 'scheint', '—:', 'dies', 'ist', 'nicht', 'gar', 'zu', 'leicht', 'zu', 'beobachten', 'wir', 'sind', 'im', 'grunde', 'umgekehrt', 'geschult', 'nämlich', 'beim', 'denken', 'nicht', 'an’s', 'denken', 'zu', 'denken', 'der', 'ursprung', 'des', 'gedankens', 'bleibt', 'verborgen;', 'die', 'wahrscheinlichkeit', 'dafür', 'ist', 'groß', 'daß', 'er', 'nur', 'das', 'symptom', 'eines', 'viel', 'umfänglicheren', 'zustandes', 'ist;', 'darin', 'daß', 'gerade', 'er', 'kommt', 'und', 'kein', 'anderer', 'daß', 'er', 'gerade', 'mit', 'dieser', 'größeren', 'oder', 'minderen', 'helligkeit', 'kommt', 'mitunter', 'sicher', 'und', 'befehlerisch', 'mitunter', 'schwach', 'und', 'einer', 'stütze', 'bedürftig', 'im', 'ganzen', 'immer', 'aufregend', 'fragend', '—', 'für', 'das', 'bewußtsein', 'wirkt', 'nämlich', 'jeder', 'gedanke', 'wie', 'ein', 'stimulans', '—:', 'in', 'dem', 'allen', 'drückt', 'sich', 'irgend', 'etwas', 'von', 'unserem', 'gesammtzustande', 'in', 'zeichen', 'aus', '—', 'ebenso', 'steht', 'es', 'mit', 'jedem', 'gefühle', 'es', 'bedeutet', 'nicht', 'an', 'sich', 'etwas:', 'es', 'wird', 'wenn', 'es', 'kommt', 'von', 'uns', 'erst', 'interpretirt', 'und', 'oft', 'wie', 'seltsam', 'interpretirt!', 'man', 'denke', 'doch', 'an', 'die', 'uns', 'fast', 'unbewußte', 'noth', 'der', 'eingeweide', 'an', 'die', 'blutdruck-spannungen', 'im', 'unterleibe', 'an', 'die', 'krankhaften', 'zustände', 'des', 'nervus', 'sympathicus', '—:', 'und', 'wie', 'vieles', 'giebt', 'es', 'wovon', 'wir', 'kaum', 'durch', 'das', 'sensorium', 'commune', 'einen', 'schimmer', 'von', 'bewußtsein', 'haben!', '—', 'nur', 'der', 'anatomisch', 'unterrichtete', 'räth', 'bei', 'solchen', 'ungewissen', 'unlust-gefühlen', 'auf', 'die', 'rechte', 'gattung', 'und', 'gegend', 'der', 'ursachen;', 'alle', 'anderen', 'aber', 'im', 'ganzen', 'also', 'fast', 'alle', 'menschen', 'so', 'lange', 'es', 'menschen', 'giebt', 'suchen', 'bei', 'solcher', 'art', 'von', 'schmerzen', 'keine', 'physische', 'sondern', 'eine', 'psychische', 'und', 'moralische', 'erklärung', 'und', 'schieben', 'den', 'thatsächlichen', 'verstimmungen', 'des', 'leibes', 'eine', 'falsche', 'begründung', 'unter', 'indem', 'sie', 'im', 'umkreise', 'ihrer', 'unangenehmen', 'erfahrungen', 'und', 'befürchtungen', 'einen', 'grund', 'herausholen', 'sich', 'dermaßen', 'schlecht', 'zu', 'befinden', 'auf', 'der', 'folter', 'bekennt', 'sich', 'fast', 'jedermann', 'schuldig;', 'bei', 'dem', 'schmerz', 'dessen', 'physische', 'ursache', 'man', 'nicht', 'weiß', 'fragt', 'sich', 'der', 'gefolterte', 'so', 'lange', 'und', 'so', 'inquisitorisch', 'selbst', 'bis', 'er', 'sich', 'oder', 'andere', 'schuldig', 'findet:', '—', 'wie', 'es', 'zum', 'beispiel', 'der', 'puritaner', 'that', 'welcher', 'den', 'einer', 'unvernünftigen', 'lebensweise', 'anhaftenden', 'spleen', 'sich', 'gewohnheitsmäßig', 'moralisch', 'auslegte', 'nämlich', 'als', 'biß', 'seines', 'eigenen', 'gewissens', '—']"
144,1885,39,"['der', 'wille', 'zur', 'macht']"
145,1885,40,"['müde', 'leidende', 'geängstigte', 'meinen', 'frieden', 'meinen', 'unbewegtheit', 'ruhe', 'etwas', 'dem', 'tiefen', 'schlafe', 'ähnliches', 'wenn', 'sie', 'an', 'das', 'höchste', 'glück', 'denken', 'davon', 'ist', 'viel', 'in', 'die', 'philosophie', 'gekommen', 'ebenso', 'hat', 'die', 'angst', 'vor', 'dem', 'ungewissen', 'vieldeutigen', 'verwandlungsfähigen', 'seinen', 'gegensatz', 'das', 'einfache', 'sich-gleich-bleibende', 'berechenbare', 'gewisse', 'zu', 'ehren', 'gebracht', 'eine', 'andere', 'art', 'wesen', 'würde', 'die', 'umgekehrten', 'zustände', 'zu', 'ehren', 'bringen', 'aber', 'als', 'ich', 'vor', 'zehn', 'jahren', '—', '—', '—']"
146,1885,41,"['sils-maria', 'ende', 'august', '1885']"
147,1885,42,"['der', 'spiegel', 'eine', 'gelegenheit', 'zur', 'selbst-bespiegelung', 'für', 'europäer']"
148,1885,43,['entwurf']
149,1885,44,"['die', 'capitel']"
150,1885,45,"['zucht', 'des', 'herzens']"
151,1885,1,"['eigentlich', 'sollte', 'ich', 'einen', 'kreis', 'von', 'tiefen', 'und', 'zarten', 'menschen', 'um', 'mich', 'haben', 'welche', 'mich', 'etwas', 'vor', 'mir', 'selber', 'schützten', 'und', 'mich', 'auch', 'zu', 'erheitern', 'wüßten:', 'denn', 'für', 'einen', 'der', 'solche', 'dinge', 'denkt', 'wie', 'ich', 'sie', 'denken', 'muß', 'ist', 'die', 'gefahr', 'immer', 'ganz', 'in', 'der', 'nähe', 'daß', 'er', 'sich', 'selber', 'zerstört']"
152,1885,2,"['es', 'giebt', 'eine', 'vornehme', 'und', 'gefährliche', 'nachlässigkeit', 'welche', 'einen', 'tiefen', 'schluß', 'und', 'einblick', 'gewährt:', 'die', 'nachlässigkeit', 'der', 'überreichen', 'seele', 'die', 'sich', 'nie', 'um', 'freunde', 'bemüht', 'hat', 'sondern', 'nur', 'die', 'gastfreundschaft', 'kennt', 'immer', 'nur', 'gastfreundschaft', 'übt', 'und', 'zu', 'üben', 'versteht', '—', 'herz', 'und', 'haus', 'offen', 'für', 'jedermann', 'der', 'eintreten', 'will', 'seien', 'es', 'nun', 'bettler', 'oder', 'krüppel', 'oder', 'könige', 'dies', 'ist', 'die', 'ächte', 'leutseligkeit:', 'wer', 'sie', 'hat', 'hat', 'hundert', 'freunde', 'aber', 'wahrscheinlich', 'keinen', 'freund']"
153,1886,3,"['zur', 'naturgeschichte', 'des', 'freien', 'geistes']"
154,1886,4,"['ein', 'philosoph:', 'was', 'für', 'eine', 'bescheidene', 'creatur', 'wenn', 'er', 'wirklich', 'seinem', 'namen', 'treu', 'bleibt!', '—', 'als', 'welcher', 'nicht', 'einen', 'freund', 'der', 'weisheit', 'bezeichnet', 'vergebung', 'einem', 'alten', 'philologen!', 'sondern', 'nur', 'einen', 'der', 'weise', 'männer', 'gern', 'hat', 'wollt', 'ihr', 'also', 'daß', 'es', 'philosophen', 'geben', 'soll', 'im', 'griechischen', 'sinne', 'und', 'wortverstande', 'heran', 'zuerst', 'mit', 'euren', 'weisen', 'männern', '!', '—', 'aber', 'es', 'scheint', 'mir', 'meine', 'freunde', 'wir', 'lieben', 'zuletzt', 'die', 'unweisen', 'männer', 'mehr', 'als', 'die', 'weisen', 'gesetzt', 'selbst', 'es', 'gäbe', 'weise', '—', '?', 'und', 'vielleicht', 'steckt', 'darin', 'gerade', 'darin', 'mehr', 'weisheit?', 'wie?', 'sollten', 'gar', 'die', 'weisen', 'selbst', '—', 'aus', 'der', 'nähe', 'gesehn', 'vielleicht', '—', 'keine', 'philosophen', 'sein?', 'sondern', 'philasophen', '?', 'freunde', 'der', 'narrheit', 'gute', 'gesellschaft', 'für', 'spielleute', 'und', 'närrisches', 'volk?', 'und', 'nicht', 'für', '—', 'sich?', '—']"
155,1886,5,"['bücher', 'ziegler']"
156,1886,6,"['wenn', 'man', 'eine', 'tapfere', 'und', 'wohlgerathene', 'seele', 'im', 'leibe', 'hat', 'kann', 'man', 'sich', 'schon', 'diesen', 'artigen', 'luxus', 'von', 'immoralität', 'erlauben']"
157,1886,7,"['<erstes', 'buch:', 'was', 'ist', 'wahrheit?', '>']"
158,1887,8,"['<erstes', 'buch:', 'was', 'ist', 'wahrheit?', '>']"
159,1887,9,"['prinzipien', 'und', 'vorausgeschickte']"
160,1887,10,"['halkyonia', 'nachmittage', 'eines', 'glücklichen', 'von', 'friedrich', 'nietzsche']"
161,1887,11,"['nizza', 'den', '24', 'november', '1887']"
162,1888,12,"['register', 'zum', 'ersten', 'buch']"
163,1888,13,"['werden', 'und', 'sein']"
164,1888,14,"['nizza', 'den', '25', 'märz', '1888']"
165,1888,15,"['kritik', 'der', 'modernen', 'werthe']"
166,1888,16,"['turin', '21', 'april', 'unterwegs']"
167,1888,17,"['erstes', 'capitel']"
168,1888,18,"['aus', 'der', 'kriegsschule', 'der', 'seele']"
169,1888,19,"['<1', '>']"
170,1888,20,"['das', 'eherne', 'schweigen', '—']"
171,1888,21,['teichm<üller>']
172,1888,22,"['randbemerkung', 'zu', 'einer', 'niaserie', 'anglaise', '—', 'was', 'du', 'nicht', 'willst', 'daß', 'dir', 'die', 'leute', 'thun', 'das', 'thue', 'ihnen', 'auch', 'nicht', 'das', 'gilt', 'als', 'weisheit;', 'das', 'gilt', 'als', 'klugheit;', 'das', 'gilt', 'als', 'grund', 'der', 'moral', '—', 'als', 'güldener', 'spruch', 'john', 'stuart', 'mill', 'und', 'wer', 'nicht', 'unter', 'engländern', 'glaubt', 'daran…', 'aber', 'der', 'spruch', 'hält', 'nicht', 'den', 'leichtesten', 'angriff', 'aus', 'der', 'calcul', 'thue', 'nichts', 'was', 'dir', 'selber', 'nicht', 'angethan', 'werden', 'soll', 'verbietet', 'handlungen', 'um', 'ihrer', 'schädlichen', 'folgen', 'willen:', 'der', 'hintergedanke', 'ist', 'daß', 'eine', 'handlung', 'immer', 'vergolten', 'wird', 'wie', 'nun', 'wenn', 'jemand', 'mit', 'dem', 'principe', 'in', 'der', 'hand', 'sagte', 'gerade', 'solche', 'handlungen', 'muß', 'man', 'thun', 'damit', 'andere', 'uns', 'nicht', 'zuvorkommen', '—', 'damit', 'wir', 'andere', 'außer', 'stand', 'setzen', 'sie', 'uns', 'anzuthun?', '—', 'andrerseits:', 'denken', 'wir', 'uns', 'einen', 'corsen', 'dem', 'seine', 'ehre', 'die', 'vendetta', 'gebietet', 'auch', 'er', 'wünscht', 'keine', 'flintenkugel', 'in', 'den', 'leib:', 'aber', 'die', 'aussicht', 'auf', 'eine', 'solche', 'die', 'wahrscheinlichkeit', 'einer', 'kugel', 'hält', 'ihn', 'nicht', 'ab', 'seiner', 'ehre', 'zu', 'genügen…', 'und', 'sind', 'wir', 'nicht', 'in', 'allen', 'anständigen', 'handlungen', 'eben', 'absichtlich', 'gleichgültig', 'gegen', 'das', 'was', 'daraus', 'für', 'uns', 'kommt?', 'eine', 'handlung', 'zu', 'vermeiden', 'die', 'schädliche', 'folgen', 'für', 'uns', 'hätte', '—', 'das', 'wäre', 'ein', 'verbot', 'für', 'anständige', 'handlungen', 'überhaupt…']"
173,1888,23,"['auch', 'ein', 'gebot', 'der', 'menschenliebe', '—', 'es', 'giebt', 'fälle', 'wo', 'ein', 'kind', 'ein', 'verbrechen', 'sein', 'würde:', 'bei', 'chronisch', 'kranken', 'und', 'neurasthenikern', 'dritten', 'grades', 'was', 'hat', 'man', 'da', 'zu', 'thun?', '—', 'solche', 'zur', 'keuschheit', 'ermuthigen', 'etwa', 'mit', 'hülfe', 'von', 'parsifal-musik', 'mag', 'immerhin', 'versucht', 'werden:', 'parsifal', 'selbst', 'dieser', 'typische', 'idiot', 'hatte', 'nur', 'zu', 'viel', 'gründe', 'sich', 'nicht', 'fortzupflanzen', 'der', 'übelstand', 'ist', 'daß', 'eine', 'gewisse', 'unfähigkeit', 'sich', 'zu', 'beherrschen', '(—', 'auf', 'reize', 'auf', 'noch', 'so', 'kleine', 'geschlechtsreize', 'nicht', 'zu', 'reagiren)', 'gerade', 'zu', 'den', 'regelmäßigsten', 'folgen', 'der', 'gesammt-erschöpfung', 'gehört', 'man', 'würde', 'sich', 'verrechnen', 'wenn', 'man', 'sich', 'zum', 'beispiel', 'einen', 'leopardi', 'als', 'keusch', 'vorstellte', 'der', 'priester', 'der', 'moralist', 'spielen', 'da', 'ein', 'verlornes', 'spiel;', 'besser', 'thut', 'man', 'noch', 'in', 'die', 'apotheke', 'zu', 'schicken', 'zuletzt', 'hat', 'hier', 'die', 'gesellschaft', 'eine', 'pflicht', 'zu', 'erfüllen:', 'es', 'giebt', 'wenige', 'dergestalt', 'dringliche', 'und', 'grundsätzliche', 'forderungen', 'an', 'sie', 'die', 'gesellschaft', 'als', 'großmandatar', 'des', 'lebens', 'hat', 'jedes', 'verfehlte', 'leben', 'vor', 'dem', 'leben', 'selber', 'zu', 'verantworten', '—', 'sie', 'hat', 'es', 'auch', 'zu', 'büßen:', 'folglich', 'soll', 'sie', 'es', 'verhindern', 'die', 'gesellschaft', 'soll', 'in', 'zahlreichen', 'fällen', 'der', 'zeugung', 'vorbeugen:', 'sie', 'darf', 'hierzu', 'ohne', 'rücksicht', 'auf', 'herkunft', 'rang', 'und', 'geist', 'die', 'härtesten', 'zwangs-maaßregeln', 'freiheits-entziehungen', 'unter', 'umständen', 'castrationen', 'in', 'bereitschaft', 'halten', '—', 'das', 'bibel-verbot', 'du', 'sollst', 'nicht', 'tödten!', 'ist', 'eine', 'naivetät', 'im', 'vergleich', 'zum', 'ernst', 'des', 'lebens-verbots', 'an', 'die', 'décadents:', 'ihr', 'sollt', 'nicht', 'zeugen!', '…', 'das', 'leben', 'selbst', 'erkennt', 'keine', 'solidarität', 'kein', 'gleiches', 'recht', 'zwischen', 'gesunden', 'und', 'entartenden', 'theilen', 'eines', 'organismus', 'an:', 'letztere', 'muß', 'man', 'ausschneiden', '—', 'oder', 'das', 'ganze', 'geht', 'zu', 'grunde', '—', 'mitleiden', 'mit', 'den', 'décadents', 'gleiche', 'rechte', 'auch', 'für', 'die', 'mißrathenen', '—', 'das', 'wäre', 'die', 'tiefste', 'unmoralität', 'das', 'wäre', 'die', 'widernatur', 'selbst', 'als', 'moral!']"
174,1888,24,"['ecce', 'homo', 'oder:', 'warum', 'ich', 'einiges', 'mehr', 'weiss', 'von', 'friedrich', 'nietzsche']"
175,1888,25,"['die', 'große', 'politik']"
